2020-05-05T19:34:28.618+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection [id: 0][route: {}->http://localhost:6328] can be kept alive indefinitely
2020-05-05T19:34:28.618+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection released: [id: 0][route: {}->http://localhost:6328][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
2020-05-05T19:34:28.623+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | RequestAddCookies | CookieSpec selected: default
2020-05-05T19:34:28.624+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | RequestAuthCache | Auth cache not set in the context
2020-05-05T19:34:28.624+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection request: [route: {}->http://localhost:6328][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
2020-05-05T19:34:28.624+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection leased: [id: 0][route: {}->http://localhost:6328][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2020-05-05T19:34:28.625+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Stale connection check
2020-05-05T19:34:28.627+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 << "[read] I/O error: Read timed out"
2020-05-05T19:34:28.628+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | DefaultManagedHttpClientConnection | http-outgoing-0: set socket timeout to 10800000
2020-05-05T19:34:28.628+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Executing request POST /session/267c4e8519d88a79111d7f4e9694f899/timeouts HTTP/1.1
2020-05-05T19:34:28.628+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Target auth state: UNCHALLENGED
2020-05-05T19:34:28.628+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Proxy auth state: UNCHALLENGED
2020-05-05T19:34:28.629+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> POST /session/267c4e8519d88a79111d7f4e9694f899/timeouts HTTP/1.1
2020-05-05T19:34:28.629+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Content-Type: application/json; charset=utf-8
2020-05-05T19:34:28.629+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Content-Length: 29
2020-05-05T19:34:28.629+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Host: localhost:6328
2020-05-05T19:34:28.629+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Connection: Keep-Alive
2020-05-05T19:34:28.630+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_201)
2020-05-05T19:34:28.630+0530 |[Forwarding setTimeout on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Accept-Encoding: gzip,deflate
